"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
130,0.509804,64,0.250980,0.252941,0.001961,129,0.507810,0.001994
131,0.513726,65,0.254902,0.256821,0.001919,130,0.511790,0.001936
132,0.517647,66,0.258824,0.260733,0.001910,131,0.515737,0.001910
133,0.521569,67,0.262745,0.264677,0.001932,132,0.519652,0.001917
134,0.525490,68,0.266667,0.268654,0.001987,133,0.523534,0.001956
135,0.529412,69,0.270588,0.272663,0.002075,134,0.527386,0.002026
136,0.533333,70,0.274510,0.276705,0.002195,135,0.531208,0.002126
137,0.537255,71,0.278431,0.280778,0.002347,136,0.534999,0.002255
138,0.541176,72,0.282353,0.284885,0.002532,137,0.538762,0.002414
139,0.545098,73,0.286275,0.289024,0.002749,138,0.542497,0.002601
140,0.549020,74,0.290196,0.293195,0.002999,139,0.546203,0.002816
141,0.552941,75,0.294118,0.297399,0.003282,140,0.549883,0.003059
142,0.556863,76,0.298039,0.301636,0.003597,141,0.553535,0.003327
143,0.560784,78,0.305882,0.305906,0.000023,142,0.560763,0.000021
144,0.564706,79,0.309804,0.310208,0.000404,143,0.564339,0.000367
145,0.568627,80,0.313726,0.314543,0.000818,144,0.567890,0.000737
146,0.572549,81,0.317647,0.318911,0.001264,145,0.571417,0.001132
147,0.576471,82,0.321569,0.323312,0.001743,146,0.574921,0.001550
148,0.580392,83,0.325490,0.327745,0.002255,147,0.578401,0.001991
149,0.584314,84,0.329412,0.332212,0.002800,148,0.581858,0.002455
150,0.588235,85,0.333333,0.336712,0.003378,149,0.585294,0.002942
151,0.592157,87,0.341176,0.341245,0.000068,150,0.592098,0.000059
152,0.596078,88,0.345098,0.345810,0.000712,151,0.595469,0.000610
153,0.600000,89,0.349020,0.350409,0.001390,152,0.598818,0.001182
154,0.603922,90,0.352941,0.355041,0.002100,153,0.602147,0.001774
155,0.607843,91,0.356863,0.359707,0.002844,154,0.605456,0.002387
156,0.611765,92,0.360784,0.364405,0.003621,155,0.608745,0.003020
157,0.615686,94,0.368627,0.369137,0.000509,156,0.615265,0.000421
158,0.619608,95,0.372549,0.373902,0.001353,157,0.618497,0.001111
159,0.623529,96,0.376471,0.378700,0.002230,158,0.621711,0.001819
160,0.627451,97,0.380392,0.383532,0.003140,159,0.624906,0.002545
161,0.631373,99,0.388235,0.388398,0.000162,160,0.631242,0.000130
162,0.635294,100,0.392157,0.393296,0.001139,161,0.634384,0.000910
163,0.639216,101,0.396078,0.398229,0.002150,162,0.637509,0.001706
164,0.643137,102,0.400000,0.403194,0.003194,163,0.640618,0.002520
165,0.647059,104,0.407843,0.408194,0.000351,164,0.646785,0.000274
166,0.650980,105,0.411765,0.413227,0.001462,165,0.649844,0.001137
167,0.654902,106,0.415686,0.418294,0.002607,166,0.652887,0.002015
168,0.658824,107,0.419608,0.423394,0.003786,167,0.655915,0.002909
169,0.662745,109,0.427451,0.428528,0.001077,168,0.661925,0.000820
170,0.666667,110,0.431373,0.433696,0.002323,169,0.664907,0.001760
171,0.670588,111,0.435294,0.438898,0.003603,170,0.667874,0.002714
172,0.674510,113,0.443137,0.444133,0.000996,171,0.673766,0.000744
173,0.678431,114,0.447059,0.449403,0.002344,172,0.676690,0.001741
174,0.682353,115,0.450980,0.454706,0.003725,173,0.679601,0.002752
175,0.686275,117,0.458824,0.460043,0.001220,174,0.685381,0.000894
176,0.690196,118,0.462745,0.465414,0.002669,175,0.688250,0.001946
177,0.694118,120,0.470588,0.470820,0.000232,176,0.693950,0.000167
178,0.698039,121,0.474510,0.476259,0.001749,177,0.696781,0.001259
179,0.701961,122,0.478431,0.481733,0.003301,178,0.699598,0.002362
180,0.705882,124,0.486275,0.487240,0.000966,179,0.705196,0.000686
181,0.709804,125,0.490196,0.492782,0.002586,180,0.707977,0.001827
182,0.713726,127,0.498039,0.498358,0.000319,181,0.713502,0.000224
183,0.717647,128,0.501961,0.503968,0.002007,182,0.716247,0.001400
184,0.721569,129,0.505882,0.509613,0.003730,183,0.718980,0.002589
185,0.725490,131,0.513726,0.515292,0.001566,184,0.724411,0.001079
186,0.729412,132,0.517647,0.521005,0.003358,185,0.727110,0.002302
187,0.733333,134,0.525490,0.526752,0.001262,186,0.732474,0.000859
188,0.737255,135,0.529412,0.532534,0.003122,187,0.735140,0.002115
189,0.741176,137,0.537255,0.538351,0.001096,188,0.740440,0.000737
190,0.745098,138,0.541176,0.544201,0.003025,189,0.743073,0.002025
191,0.749020,140,0.549020,0.550087,0.001067,190,0.748310,0.000709
192,0.752941,141,0.552941,0.556007,0.003066,191,0.750913,0.002028
193,0.756863,143,0.560784,0.561961,0.001177,192,0.756089,0.000773
194,0.760784,144,0.564706,0.567950,0.003245,193,0.758663,0.002122
195,0.764706,146,0.572549,0.573974,0.001425,194,0.763780,0.000926
196,0.768627,147,0.576471,0.580033,0.003562,195,0.766325,0.002303
197,0.772549,149,0.584314,0.586126,0.001812,196,0.771385,0.001164
198,0.776471,151,0.592157,0.592254,0.000097,197,0.776409,0.000062
