"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
129,0.505882,65,0.254902,0.255917,0.001015,128,0.504878,0.001004
130,0.509804,66,0.258824,0.259900,0.001077,129,0.508747,0.001057
131,0.513726,67,0.262745,0.263914,0.001169,130,0.512587,0.001139
132,0.517647,68,0.266667,0.267959,0.001292,131,0.516398,0.001249
133,0.521569,69,0.270588,0.272034,0.001446,132,0.520181,0.001388
134,0.525490,70,0.274510,0.276140,0.001630,133,0.523937,0.001553
135,0.529412,71,0.278431,0.280277,0.001845,134,0.527666,0.001746
136,0.533333,72,0.282353,0.284444,0.002092,135,0.531369,0.001964
137,0.537255,73,0.286275,0.288643,0.002368,136,0.535046,0.002209
138,0.541176,74,0.290196,0.292872,0.002676,137,0.538698,0.002478
139,0.545098,75,0.294118,0.297132,0.003014,138,0.542326,0.002772
140,0.549020,76,0.298039,0.301423,0.003383,139,0.545930,0.003090
141,0.552941,77,0.301961,0.305744,0.003783,140,0.549510,0.003432
142,0.556863,79,0.309804,0.310096,0.000292,141,0.556600,0.000262
143,0.560784,80,0.313726,0.314479,0.000754,142,0.560112,0.000672
144,0.564706,81,0.317647,0.318893,0.001246,143,0.563602,0.001104
145,0.568627,82,0.321569,0.323337,0.001769,144,0.567070,0.001557
146,0.572549,83,0.325490,0.327812,0.002322,145,0.570517,0.002032
147,0.576471,84,0.329412,0.332318,0.002907,146,0.573944,0.002527
148,0.580392,85,0.333333,0.336855,0.003522,147,0.577350,0.003042
149,0.584314,87,0.341176,0.341423,0.000246,148,0.584103,0.000211
150,0.588235,88,0.345098,0.346021,0.000923,149,0.587450,0.000785
151,0.592157,89,0.349020,0.350650,0.001630,150,0.590779,0.001378
152,0.596078,90,0.352941,0.355310,0.002368,151,0.594089,0.001990
153,0.600000,91,0.356863,0.360000,0.003137,152,0.597380,0.002620
154,0.603922,93,0.364706,0.364721,0.000015,153,0.603909,0.000013
155,0.607843,94,0.368627,0.369473,0.000846,154,0.607147,0.000696
156,0.611765,95,0.372549,0.374256,0.001707,155,0.610368,0.001397
157,0.615686,96,0.376471,0.379070,0.002599,156,0.613572,0.002114
158,0.619608,97,0.380392,0.383914,0.003522,157,0.616759,0.002848
159,0.623529,99,0.388235,0.388789,0.000554,158,0.623085,0.000444
160,0.627451,100,0.392157,0.393695,0.001538,159,0.626224,0.001227
161,0.631373,101,0.396078,0.398631,0.002553,160,0.629348,0.002025
162,0.635294,102,0.400000,0.403599,0.003599,161,0.632456,0.002839
163,0.639216,104,0.407843,0.408597,0.000754,162,0.638626,0.000590
164,0.643137,105,0.411765,0.413626,0.001861,163,0.641689,0.001448
165,0.647059,106,0.415686,0.418685,0.002999,164,0.644737,0.002321
166,0.650980,108,0.423529,0.423775,0.000246,165,0.650791,0.000189
167,0.654902,109,0.427451,0.428897,0.001446,166,0.653797,0.001105
168,0.658824,110,0.431373,0.434048,0.002676,167,0.656790,0.002034
169,0.662745,112,0.439216,0.439231,0.000015,168,0.662733,0.000012
170,0.666667,113,0.443137,0.444444,0.001307,169,0.665686,0.000981
171,0.670588,114,0.447059,0.449689,0.002630,170,0.668625,0.001964
172,0.674510,116,0.454902,0.454964,0.000062,171,0.674464,0.000046
173,0.678431,117,0.458824,0.460269,0.001446,172,0.677365,0.001066
174,0.682353,118,0.462745,0.465606,0.002860,173,0.680254,0.002099
175,0.686275,120,0.470588,0.470973,0.000384,174,0.685994,0.000280
176,0.690196,121,0.474510,0.476371,0.001861,175,0.688847,0.001349
177,0.694118,122,0.478431,0.481799,0.003368,176,0.691687,0.002430
178,0.698039,124,0.486275,0.487259,0.000984,177,0.697334,0.000705
179,0.701961,125,0.490196,0.492749,0.002553,178,0.700140,0.001821
180,0.705882,127,0.498039,0.498270,0.000231,179,0.705719,0.000163
181,0.709804,128,0.501961,0.503822,0.001861,180,0.708492,0.001312
182,0.713726,129,0.505882,0.509404,0.003522,181,0.711254,0.002471
183,0.717647,131,0.513726,0.515017,0.001292,182,0.716747,0.000901
184,0.721569,132,0.517647,0.520661,0.003014,183,0.719477,0.002092
185,0.725490,134,0.525490,0.526336,0.000846,184,0.724907,0.000583
186,0.729412,135,0.529412,0.532042,0.002630,185,0.727607,0.001805
187,0.733333,137,0.537255,0.537778,0.000523,186,0.732977,0.000357
188,0.737255,138,0.541176,0.543545,0.002368,187,0.735647,0.001608
189,0.741176,140,0.549020,0.549343,0.000323,188,0.740959,0.000218
190,0.745098,141,0.552941,0.555171,0.002230,189,0.743600,0.001498
191,0.749020,143,0.560784,0.561030,0.000246,190,0.748855,0.000164
192,0.752941,144,0.564706,0.566920,0.002215,191,0.751469,0.001472
193,0.756863,146,0.572549,0.572841,0.000292,192,0.756670,0.000193
194,0.760784,147,0.576471,0.578793,0.002322,193,0.759257,0.001528
195,0.764706,149,0.584314,0.584775,0.000461,194,0.764404,0.000302
196,0.768627,150,0.588235,0.590788,0.002553,195,0.766965,0.001662
197,0.772549,152,0.596078,0.596832,0.000754,196,0.772061,0.000488
198,0.776471,153,0.600000,0.602907,0.002907,197,0.774597,0.001874
199,0.780392,155,0.607843,0.609012,0.001169,198,0.779643,0.000749
